GreyhoundName,,GreyhoundName,Earmark,Reg Date,Active,Colour,Sex,Whelp Date,Retirement Type,Status Meaning,NoticeSentBy
CARRIGEEN TRIX,402878,CARRIGEEN TRIX,XTITV,,False,bk,B,28/05/2021,DIE,Died/Put To Sleep,2022-07-20 07:32:00
CARRIGEEN WREN,580430,CARRIGEEN WREN,UTBHD,,False,bk,B,03/10/2019,RET,Still at premises,2022-09-04 07:32:00
CARRIGMORE CAIN,36367,CARRIGMORE CAIN,VHSKK,06/06/2019,False,bk,D,01/01/2020,DIE,Died/Put To Sleep,2022-04-22 06:07:00
CARRIGMORE DIZZY,931,CARRIGMORE DIZZY,SHEHA,24/01/2018,False,bk,B,01/10/2017,RET,,2022-04-22 06:07:00
CARRIGMORE TIZZY,437281,CARRIGMORE TIZZY,XHJUI,,False,bk,B,03/08/2021,DIE,Died/Put To Sleep,2022-09-08 07:33:00
CARRIGOE MURRAY,226298,CARRIGOE MURRAY,VDXHZ,,False,bk,B,16/07/2020,RET,Still at premises,2022-09-07 07:34:00
CARRIGOE PATCH,209494,CARRIGOE PATCH,VDZJZ,,True,wbk,B,02/12/2020,RET,Still at premises,2022-04-20 15:28:00
CARRIGOON AVA,592227,CARRIGOON AVA,VLTUM,,True,bk,B,02/10/2020,RET,Still at premises,2022-08-19 07:34:00
CARRIGOON CHIEF,548539,CARRIGOON CHIEF,ULYKD,,False,bk,D,01/05/2019,DIE,Died/Put To Sleep,2022-08-19 07:34:00
CARRIGOON LODGE,494114,CARRIGOON LODGE,TLLMD,,False,bk,D,01/02/2018,RET,Still at premises,2022-08-23 07:32:00
CARRIGOON SNAP,121140,CARRIGOON SNAP,ULQYS,,False,bk,B,01/05/2019,DIE,Died/Put To Sleep,2022-07-13 07:32:00
CARROW DAISY,3288,CARROW DAISY,SDZRH,30/07/2018,False,bk,B,09/03/2017,RET,Transfer is complete,2022-06-04 07:34:00
CARROWKEAL BARTY,1629,CARROWKEAL BARTY,TLIZZ,06/04/2018,False,be,D,23/12/2017,EUT,Died/Put To Sleep,2021-11-28 06:02:00
CARROWKEAL COCOA,747088,CARROWKEAL COCOA,XLLRT,,False,bk,B,12/05/2021,EUT,Died/Put To Sleep,2022-08-04 07:35:00
CARROWKEAL HOGGY,223400,CARROWKEAL HOGGY,UBTXY,,False,bd,D,08/02/2019,DIE,Died/Put To Sleep,2022-05-20 07:33:00
CASHEN NERVY,842038,CASHEN NERVY,XYVIX,,False,bd,B,11/09/2021,DIE,Died/Put To Sleep,2022-02-28 06:30:00
CASHEN RAVENNA,113131,CASHEN RAVENNA,UYBBP,,False,bk,B,11/03/2019,DIE,Died/Put To Sleep,2022-09-08 07:33:00
CASHMEREALCHAPO,74000,CASHMEREALCHAPO,THVNM,,False,bebd,B,01/05/2018,DIE,Died/Put To Sleep,2022-09-01 07:33:00
CASHONTHEDASH,492193,CASHONTHEDASH,SRTMD,,False,bk,D,10/06/2017,DIE,Died/Put To Sleep,2022-04-22 06:07:00
CASPIAN ALF,94435,CASPIAN ALF,TYQZI,,False,bk,D,02/09/2018,DIE,Died/Put To Sleep,2022-09-08 07:33:00
CASPIAN BLEU,498348,CASPIAN BLEU,TYBDY,,False,be,B,19/03/2018,RET,Still at premises,2022-09-08 07:33:00
CASSIES GANG,437140,CASSIES GANG,XPARZ,,False,bk,B,29/07/2021,DIE,Died/Put To Sleep,2022-07-29 07:33:00
CASTLEIVY BLAKE,560583,CASTLEIVY BLAKE,UHJUU,,False,bk,D,15/07/2019,DIE,Died/Put To Sleep,2022-09-17 07:33:00
CASTLEROCK MAJOR,599096,CASTLEROCK MAJOR,VPEVK,,False,wbk,D,14/11/2020,DIE,Died/Put To Sleep,2022-08-25 07:34:00
CATCH MY TAIL,889014,CATCH MY TAIL,XHLID,,False,bkw,D,05/10/2021,DIE,Died/Put To Sleep,2022-08-16 07:33:00
CATNAP,667221,CATNAP,SUMHS,,False,bkw,B,03/05/2017,DIE,Died/Put To Sleep,2022-08-02 07:32:00
CATUNDA ALIYAH,884602,CATUNDA ALIYAH,XPABP,,False,bk,B,08/10/2021,EUT,Died/Put To Sleep,2022-08-24 07:33:00
CATUNDA CANDY,896890,CATUNDA CANDY,XXVNK,,False,bd,B,07/10/2021,EUT,Died/Put To Sleep,2022-08-24 07:33:00
CATUNDA COOPER,950535,CATUNDA COOPER,XKQSN8,01/08/2021,False,bk,D,01/08/2021,EUT,Died/Put To Sleep,2022-09-16 07:33:00
CATUNDA FRED,166496,CATUNDA FRED,VKMEN,,False,bk,D,03/10/2020,DIE,Died/Put To Sleep,2022-04-22 06:07:00
CATUNDA LEXI,65460,CATUNDA LEXI,SKXTE,,False,be,B,23/07/2017,DIE,Died/Put To Sleep,2022-08-27 07:32:00
CATUNDA MEGAN,444230,CATUNDA MEGAN,XKHKH,,False,be,B,04/07/2021,EUT,Died/Put To Sleep,2022-08-21 07:33:00
CATUNDA NUALA,444330,CATUNDA NUALA,XKKJK,,False,wbk,B,04/07/2021,EUT,Died/Put To Sleep,2022-08-21 07:33:00
CATUNDA TERESA,335492,CATUNDA TERESA,VKJNK23,,False,bk,B,01/10/2020,RET,Transfer is complete,2022-09-13 07:33:00
CAULRY ANN MARIE,171825,CAULRY ANN MARIE,VVAXN,,False,bk,B,02/10/2020,EUT,Died/Put To Sleep,2022-08-30 07:33:00
CAVIES HEATHER,2400,CAVIES HEATHER,TPSQD,08/06/2018,False,bk,B,07/03/2018,RET,Licence Unsuspended,2022-02-04 06:04:00
CAVIES LOTUS,387842,CAVIES LOTUS,VPZLE,,False,bk,D,04/09/2020,DIE,Died/Put To Sleep,2022-07-09 07:32:00
CAVIES RECRUIT,519286,CAVIES RECRUIT,TPQUT,,False,be,D,26/09/2018,EUT,Died/Put To Sleep,2022-09-08 07:33:00
CAVIES SIS,153067,CAVIES SIS,UPBQU,,False,bk,B,28/08/2019,DIE,Died/Put To Sleep,2022-09-10 07:34:00
CEIDE PRINCE,246522,CEIDE PRINCE,VVAKR,,False,dkbd,D,18/05/2020,DIE,Died/Put To Sleep,2022-09-14 07:33:00
CENTAUR,231815,CENTAUR,SDVKH,,False,bk,D,03/03/2017,DIE,Died/Put To Sleep,2022-01-20 06:02:00
CHAMBERLAIN BOLT,424273,CHAMBERLAIN BOLT,XPLEH,,False,wbk,B,11/06/2021,DIE,Died/Put To Sleep,2022-09-17 07:33:00
CHAMPHERS BELLE,569833,CHAMPHERS BELLE,UYKTM,,False,bd,B,08/09/2019,RET,Licence Unsuspended,2022-08-09 07:33:00
CHANCEME LENI,477929,CHANCEME LENI,XDRPL,,False,bk,D,01/10/2021,DIE,Died/Put To Sleep,2022-08-21 07:33:00
CHANGE OF PLAN,108344,CHANGE OF PLAN,THIPN,,False,bd,B,01/12/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
CHARCOAL BEAUTY,663306,CHARCOAL BEAUTY,XXTSP,,False,bk,B,01/01/2021,DIE,Died/Put To Sleep,2022-07-13 07:32:00
CHARGES DROPPED,737329,CHARGES DROPPED,XULJD,,False,be,D,05/05/2021,DIE,Died/Put To Sleep,2022-09-03 07:34:00
CHARITY ROBIN,801481,CHARITY ROBIN,SBXSX,,True,bk,B,02/08/2017,RET,,2022-04-22 06:07:00
CHARLEMAGNE,157957,CHARLEMAGNE,VPUAJ,,True,bk,D,01/06/2019,RET,Still at premises,2022-04-20 13:19:00
CHARLIES BONNIE,119053,CHARLIES BONNIE,UHJXH,,True,be,B,04/05/2019,RET,Still at premises,2022-07-20 07:32:00
CHARLIES BUDDY,513950,CHARLIES BUDDY,SLBAD,,False,bk,D,03/04/2017,EUT,Died/Put To Sleep,2022-07-28 07:34:00
CHARLIES NEWS,861743,CHARLIES NEWS,XPAIP,,False,bk,D,14/06/2021,EUT,Died/Put To Sleep,2022-07-13 07:32:00
CHARMED,573067,CHARMED,UNPZD,,False,bk,B,08/06/2019,DIE,Died/Put To Sleep,2022-07-25 07:33:00
CHARMED SPIRIT,929951,CHARMED SPIRIT,YXTQY,,False,bk,D,22/09/2021,DIE,Died/Put To Sleep,2022-04-23 06:22:00
CHASERS TOBY,93170,CHASERS TOBY,TBRKY,,False,bk,D,20/06/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
CHASING HAPPY,185496,CHASING HAPPY,VPEDK,,False,bk,D,03/10/2020,DIE,Died/Put To Sleep,2022-07-16 07:33:00
CHASING KAY,185342,CHASING KAY,VPMIN,,False,bd,B,01/10/2020,DIE,Died/Put To Sleep,2022-07-16 07:33:00
CHASING MAGGIE,602340,CHASING MAGGIE,VPAUH,,False,bk,B,03/10/2020,DIE,Died/Put To Sleep,2022-09-11 07:34:00
CHASING NELLIE,602193,CHASING NELLIE,VPRLY,,False,bk,B,03/10/2020,DIE,Died/Put To Sleep,2022-09-05 07:31:00
CHASING PAKIE,185283,CHASING PAKIE,VPATH,,False,bk,D,03/10/2020,DIE,Died/Put To Sleep,2022-07-16 07:33:00
CHATTEL,18896,CHATTEL,UHMAU,21/10/2019,False,dkbd,B,24/06/2019,EUT,Died/Put To Sleep,2022-04-20 12:45:00
CHEEKY GEORGE,466904,CHEEKY GEORGE,ZYE4,,False,be,D,08/09/2020,DIE,Died/Put To Sleep,2022-07-09 07:32:00
CHERRY BLOOM,747282,CHERRY BLOOM,XLTQJ,,False,bk,B,26/05/2021,DIE,Died/Put To Sleep,2022-06-28 07:32:00
CHERRYGROVE IVY,104532,CHERRYGROVE IVY,THIKN,,False,bkw,B,21/11/2018,RET,Still at premises,2022-02-28 06:30:00
CHESTNUT GHOST,114725,CHESTNUT GHOST,UHDZH,,False,bk,D,01/04/2019,DIE,Died/Put To Sleep,2022-09-02 07:33:00
CHESTY JO,818931,CHESTY JO,XXLYU,,False,bebd,B,07/06/2021,DIE,Died/Put To Sleep,2022-08-02 07:32:00
CHETWYND FIFI,906461,CHETWYND FIFI,VXAPH,,False,be,B,20/09/2020,RET,Still at premises,2022-04-20 14:55:00
CHETWYND MOLLY,169644,CHETWYND MOLLY,VPRAY,,False,bk,B,14/10/2020,EUT,Died/Put To Sleep,2022-04-20 14:55:00
CHIC EXPRESS,492597,CHIC EXPRESS,SRAJZ,,False,bk,B,06/07/2017,DIE,Died/Put To Sleep,2022-04-20 13:19:00
CHIGA,382460,CHIGA,XXKEY,,False,bk,D,12/06/2021,DIE,Died/Put To Sleep,2022-06-04 07:34:00
CHILTERN BENITEZ,114403,CHILTERN BENITEZ,UXXSZ,,True,bk,D,07/03/2019,RET,Still at premises,2022-05-09 10:46:00
CHILTERN BLOOM,591500,CHILTERN BLOOM,VXBNK,,False,bk,B,04/10/2020,EUT,Died/Put To Sleep,2022-09-03 07:34:00
CHILTERN RYE,917509,CHILTERN RYE,VXNJA,,False,wbk,D,12/03/2020,EUT,Died/Put To Sleep,2022-09-03 07:34:00
CHILTERN STRIPES,4993,CHILTERN STRIPES,SBMBQ,11/10/2018,False,dkbd,D,17/06/2017,RET,Licence Unsuspended,2022-04-20 12:45:00
CHILTERN SUMMER,718044,CHILTERN SUMMER,UXDYA,,False,bk,B,06/09/2019,RET,,2022-09-16 07:33:00
CHINOOK ROCKY,55182,CHINOOK ROCKY,RLLAU,,False,be,D,02/05/2016,RET,Licence Unsuspended,2022-05-05 06:05:00
CHINOOK WILLOW,70144,CHINOOK WILLOW,TLKUZ,,False,bkw,B,01/03/2018,RET,Still at premises,2022-09-01 07:33:00
CHLOE GIRL,722765,CHLOE GIRL,VXTVX,,False,bk,B,04/09/2020,EUT,Died/Put To Sleep,2022-09-07 07:34:00
CHOCTAW ROSIE,565768,CHOCTAW ROSIE,USMLE,,False,bk,B,18/07/2019,RET,Out of Retirement,2022-07-30 07:33:00
CHRIS PEANUTS,58663,CHRIS PEANUTS,SHEPT,,False,bk,B,02/09/2017,RET,Still at premises,2022-09-10 07:34:00
CHRISTOPHORUS,142326,CHRISTOPHORUS,UNXHI,,False,bk,D,24/08/2019,DIE,Died/Put To Sleep,2022-07-17 07:33:00
CHUBBYS BEAUTY,855936,CHUBBYS BEAUTY,XBTIS,,False,bk,B,19/08/2021,EUT,Died/Put To Sleep,2022-08-15 07:32:00
CHUBBYS DUBH,469982,CHUBBYS DUBH,TRQKL,,False,bk,B,02/03/2018,RET,Transfer is complete,2022-09-07 07:34:00
CHUNKY MONKEY,748083,CHUNKY MONKEY,VKVAX,,False,bk,D,01/05/2020,DIE,Died/Put To Sleep,2022-08-23 07:32:00
CIELO,134124,CIELO,UPDIU,,True,bk,B,11/07/2019,RET,Transfer is complete,2022-09-08 07:33:00
CILL DUBH APPEAL,733363,CILL DUBH APPEAL,VXXEX,,False,bd,B,02/07/2020,DIE,Died/Put To Sleep,2022-09-12 07:33:00
CILL DUBH LUCKY,67525,CILL DUBH LUCKY,TXYXM,,False,bebd,B,01/02/2018,DIE,Died/Put To Sleep,2022-08-06 07:34:00
CINCO DE MAYO,549414,CINCO DE MAYO,UYEDJ,,False,bkw,D,27/04/2019,EUT,Died/Put To Sleep,2022-09-16 07:33:00
CINOS,205000,CINOS,XHAII,,False,bk,D,07/01/2021,EUT,Died/Put To Sleep,2022-09-04 07:32:00
CIRCUS ACT,675,CIRCUS ACT,SPTVV,21/12/2017,False,bkw,D,23/12/2016,EUT,Died/Put To Sleep,2021-06-05 08:42:00
CIRCUS BLAZE,145096,CIRCUS BLAZE,UDXXK,,False,bk,D,26/07/2019,DIE,Died/Put To Sleep,2022-08-11 07:33:00
CIRCUS PEARL,676,CIRCUS PEARL,SPDLD,21/12/2017,False,bk,B,23/12/2016,EUT,Died/Put To Sleep,2022-02-04 06:04:00
CIRCUS ROCKET,105679,CIRCUS ROCKET,TPZPZ,,False,be,D,13/11/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
CLAIRETHECOOPER,627105,CLAIRETHECOOPER,UDHQS,,False,wf,B,06/07/2019,RET,,2022-08-21 07:33:00
CLAMPETT SYD,450400,CLAMPETT SYD,XTARR,,False,bd,D,14/08/2021,DIE,Died/Put To Sleep,2022-08-27 07:32:00
CLARANNA,902948,CLARANNA,XVKZI,,False,dkbd,B,26/10/2021,EUT,Died/Put To Sleep,2022-06-12 07:33:00
CLARINA GLORY,617043,CLARINA GLORY,XHJAP,,False,bk,B,07/01/2021,EUT,Died/Put To Sleep,2022-09-08 07:33:00
CLARINA POLLY,888425,CLARINA POLLY,XHMUV,,False,bk,B,17/10/2021,DIE,Died/Put To Sleep,2022-09-07 07:34:00
CLARINA QUEEN,85373,CLARINA QUEEN,THSME,,False,bk,B,10/07/2018,DIE,Died/Put To Sleep,2022-01-30 06:17:00
CLASH SABB,648606,CLASH SABB,UBRSR,,True,bd,B,01/08/2019,RET,Still at premises,2022-08-16 07:33:00
CLASSY PARADISE,25754,CLASSY PARADISE,UBUMR,12/03/2020,False,bkw,D,04/10/2019,DIE,Died/Put To Sleep,2021-11-19 06:06:00
CLEANAWAY DIVA,491352,CLEANAWAY DIVA,SPYVL,,False,bk,B,02/10/2017,DIE,Died/Put To Sleep,2022-07-29 07:33:00
CLEAR BREAK,141157,CLEAR BREAK,UTLAQ,,False,bd,B,31/07/2019,DIE,Died/Put To Sleep,2022-02-28 06:30:00
CLOCERRONI,553081,CLOCERRONI,URMKZ,,False,bkw,D,23/04/2019,DIE,Died/Put To Sleep,2022-09-02 07:33:00
CLOCHAN AN AIFIR,66477,CLOCHAN AN AIFIR,TYALD,,False,bk,D,12/02/2018,DIE,Died/Put To Sleep,2022-09-01 07:33:00
CLODAGHS LEGEND,62742,CLODAGHS LEGEND,SRDEZ,,True,bk,B,11/11/2017,RET,Still at premises,2022-05-19 07:33:00
CLOGHEEN GATES,210105,CLOGHEEN GATES,XDZUZ,,False,bkw,D,01/01/2021,DIE,Died/Put To Sleep,2022-09-01 07:33:00
CLONA BELLA,19976,CLONA BELLA,UNNAZ,30/10/2019,False,bk,B,04/07/2019,RET,Transfer is complete,2022-05-13 11:07:00
CLONA BOLT,9959,CLONA BOLT,ULRBV,06/03/2019,False,wbk,D,01/01/2019,EUT,Died/Put To Sleep,2022-04-22 06:07:00
CLONA BREEZE,29110,CLONA BREEZE,SNPHY,30/03/2021,True,bk,B,12/06/2017,RET,Still at premises,2022-01-04 06:01:00
CLONA DREAM,970,CLONA DREAM,SPULS,26/01/2018,False,bk,B,09/02/2017,RET,Licence Unsuspended,2022-04-22 06:07:00
CLONA MIST,76179,CLONA MIST,SNLHV,,False,bk,B,12/06/2017,RET,Still at premises,2022-02-28 06:30:00
CLONA SKYE,122590,CLONA SKYE,UPRJM,,False,bk,B,02/02/2019,RET,Still at premises,2022-08-25 07:34:00
CLONBRIEN BELLE,227192,CLONBRIEN BELLE,UHHDK,,False,bd,B,26/01/2019,RET,Still at premises,2022-01-17 06:22:00
CLONCUNNY PEECEE,150850,CLONCUNNY PEECEE,UBZIY,,False,bd,B,01/08/2019,RET,Still at premises,2022-04-20 15:28:00
CLONCUNNY SAM,384470,CLONCUNNY SAM,VBEDS,,False,bk,D,20/08/2020,DIE,Died/Put To Sleep,2022-09-04 07:32:00
CLONDOTY PAURIC,115665,CLONDOTY PAURIC,UXPPN,,False,bk,D,01/04/2019,RET,Out of Retirement,2022-08-10 07:34:00
CLONDOUGLAS LIAR,236043,CLONDOUGLAS LIAR,XTYMS,,False,be,B,25/12/2020,EUT,Died/Put To Sleep,2022-04-20 15:48:00
CLONEEN VALERIE,630543,CLONEEN VALERIE,UBVTR,,True,bk,B,03/10/2019,RET,Still at premises,2022-08-31 07:34:00
CLONEYOGAN BLAZE,60462,CLONEYOGAN BLAZE,SQNII,,False,bd,D,01/11/2017,DIE,Died/Put To Sleep,2022-08-11 07:33:00
CLONEYOGAN JACK,328603,CLONEYOGAN JACK,VXNXA,,False,wbk,D,11/06/2020,EUT,Died/Put To Sleep,2022-01-05 06:02:00
CLONEYOGAN SUZY,460987,CLONEYOGAN SUZY,XVTPR,,False,bk,B,26/08/2021,DIE,Died/Put To Sleep,2022-08-15 07:32:00
CLONEYOGAN TEDDY,460914,CLONEYOGAN TEDDY,XVMEL,,False,bk,D,26/08/2021,DIE,Died/Put To Sleep,2022-08-15 07:32:00
CLONFERT JILL,84757,CLONFERT JILL,STAHU,,False,wbk,B,28/06/2017,EUT,Died/Put To Sleep,2022-08-24 07:33:00
CLONFERT LADY,76953,CLONFERT LADY,THNXT,,False,bk,B,11/05/2018,DIE,Died/Put To Sleep,2022-04-22 06:07:00
CLONFERT OLLIE,141302,CLONFERT OLLIE,UTVNY,,False,bkw,D,08/07/2019,EUT,Died/Put To Sleep,2022-09-05 07:31:00
CLONFERT QUEEN,746709,CLONFERT QUEEN,XTNXD,,False,bk,B,08/05/2021,DIE,Died/Put To Sleep,2022-09-02 07:33:00
CLONKELA MIST,408198,CLONKELA MIST,XUDUT,,False,bd,B,24/07/2021,DIE,Died/Put To Sleep,2022-08-07 07:32:00
CLONKELLY JET,106386,CLONKELLY JET,UXZQI,,False,be,B,02/01/2019,DIE,Died/Put To Sleep,2022-06-29 07:32:00
CLONKELLY VIC,265971,CLONKELLY VIC,UXBZA,,False,bk,B,06/09/2019,DIE,Died/Put To Sleep,2022-06-29 07:32:00
CLONTEMPLE CONGO,300803,CLONTEMPLE CONGO,VHTVH,,False,bk,B,15/06/2020,RET,,2022-07-31 07:33:00
CLONUFF JOAN,230196,CLONUFF JOAN,SRRPP,,False,bk,B,29/09/2017,RET,Still at premises,2022-09-16 07:33:00
CLOONDARONE RUN,942443,CLOONDARONE RUN,YTNKV,01/03/2022,False,bk,B,01/03/2022,DIE,Died/Put To Sleep,2022-06-20 07:33:00
CLOONEY DASHER,566010,CLOONEY DASHER,UNMMX,,False,bk,B,17/08/2019,EUT,Died/Put To Sleep,2022-09-04 07:32:00
CLOONEY ROVER,139807,CLOONEY ROVER,UNTND,,True,bk,D,17/08/2019,RET,Still at premises,2022-07-20 07:32:00
CLOONEY SYDNEY,377533,CLOONEY SYDNEY,XVJPL,,False,bk,D,01/05/2021,EUT,Died/Put To Sleep,2022-08-23 07:32:00
CLORANE CROSS,1904,CLORANE CROSS,SXQUR,28/05/2018,True,bd,D,01/04/2017,RET,Still at premises,2022-07-14 07:32:00
CLOSE SHOT,289670,CLOSE SHOT,VYMTE,,False,bkw,B,01/04/2020,DIE,Died/Put To Sleep,2022-02-28 06:30:00
CLOSE THE DOOR,849227,CLOSE THE DOOR,URYVL,,False,bd,D,09/06/2019,EUT,Died/Put To Sleep,2022-09-02 07:33:00
CLOSING SHOW,183443,CLOSING SHOW,VSDTK,,False,bk,D,01/11/2020,EUT,Died/Put To Sleep,2022-09-10 07:34:00
CLOUGHEAST LASS,79842,CLOUGHEAST LASS,TDHJZ,,False,be,B,02/06/2018,RET,,2022-07-02 07:34:00
CLOUNAMON BELLA,194515,CLOUNAMON BELLA,VYLIX,,False,wbk,B,01/12/2020,DIE,Died/Put To Sleep,2022-01-10 06:02:00
CLOUNANNA COOPER,633977,CLOUNANNA COOPER,UHRIK,,False,be,D,29/08/2019,EUT,Died/Put To Sleep,2022-09-17 07:33:00
CLOUNANNA MAX,287151,CLOUNANNA MAX,SHAQM,,True,bk,D,20/12/2016,RET,Still at premises,2022-05-05 06:05:00
CLOUNANNA RODGE,376526,CLOUNANNA RODGE,XDBLA,,False,be,D,08/04/2021,DIE,Died/Put To Sleep,2022-09-14 07:33:00
CLOUNBRANE GRACE,496390,CLOUNBRANE GRACE,TYXUY,,False,bk,B,10/02/2018,DIE,Died/Put To Sleep,2022-07-20 07:32:00
CLOUNBRANE OLE,496331,CLOUNBRANE OLE,TYJTI,,False,bk,D,10/02/2018,DIE,Died/Put To Sleep,2022-09-04 07:32:00
CLUAIN BETTY,163002,CLUAIN BETTY,VPPHA,,False,bk,B,05/02/2020,EUT,Died/Put To Sleep,2022-09-12 07:33:00
CLUAIN JACK,591478,CLUAIN JACK,VXYZE,,False,wbe,D,04/10/2020,DIE,Died/Put To Sleep,2022-09-14 07:33:00
CLUENDARBY KITTY,261385,CLUENDARBY KITTY,VPKPU,,False,bk,B,14/04/2020,DIE,Died/Put To Sleep,2022-07-31 07:33:00
CNOC ABBIE,145508,CNOC ABBIE,UXMMJ,,False,be,B,04/09/2019,RET,Transfer is complete,2022-09-10 07:34:00
CNOC IZZIE,500633,CNOC IZZIE,THPLT,,False,bdw,B,12/04/2018,DIE,Died/Put To Sleep,2022-01-19 06:11:00
COALMORE MAGIC,138875,COALMORE MAGIC,USLVE,,False,bk,D,21/06/2019,DIE,Died/Put To Sleep,2022-09-02 07:33:00
COCO CAPTAIN,912018,COCO CAPTAIN,XBNRM,,False,bk,D,02/10/2021,EUT,Died/Put To Sleep,2022-08-17 07:36:00
COCO LEADER,68685,COCO LEADER,TPUXI,,False,bk,D,07/03/2018,EUT,Died/Put To Sleep,2022-01-19 06:11:00
CODIGO,146482,CODIGO,UUDND,,False,bk,D,20/04/2019,DIE,Died/Put To Sleep,2022-05-21 07:33:00
COES HILL,500938,COES HILL,TDVLU,,False,bk,B,28/03/2018,RET,Still at premises,2022-06-11 07:33:00
COILL BHUI KIM,13176,COILL BHUI KIM,UYAUJ,05/07/2019,False,bk,B,16/04/2019,EUT,Died/Put To Sleep,2022-03-11 06:03:00
COLA FREE,58590,COLA FREE,SLHMZ,,False,bk,B,25/09/2017,RET,Licence Unsuspended,2022-04-22 06:07:00
COLD IN JULY,829254,COLD IN JULY,VXTJA,,False,bk,B,04/09/2020,EUT,Died/Put To Sleep,2022-06-25 07:34:00
COLDWATER FIONN,61385,COLDWATER FIONN,SYZKK,,False,bk,D,30/07/2017,DIE,Died/Put To Sleep,2022-09-01 07:33:00
COLDWATER SYDNEY,191696,COLDWATER SYDNEY,XYDLQ,,False,bk,D,12/09/2020,DIE,Died/Put To Sleep,2022-09-07 07:34:00
COLDWATER WISPA,12741,COLDWATER WISPA,UYRNZ,12/06/2019,True,bk,B,21/02/2019,RET,Transfer is complete,2022-09-14 07:33:00
COLLACILLA,119218,COLLACILLA,UHAPB,,True,bk,B,03/04/2019,RET,Still at premises,2022-09-16 07:33:00
COLLEGE MAXIMUS,513026,COLLEGE MAXIMUS,TYASV,,False,bd,D,12/08/2018,EUT,Died/Put To Sleep,2022-01-19 06:11:00
COLMYARD PULSE,501789,COLMYARD PULSE,TXAZN,,True,bk,B,16/04/2018,RET,Still at premises,2022-08-21 07:33:00
COLMYARO JACK,603246,COLMYARO JACK,XXZMA,,False,wbd,D,16/06/2020,RET,Still at premises,2022-09-16 07:33:00
COLMYARO QUEEN,603370,COLMYARO QUEEN,XXBQH,,False,bd,B,16/06/2020,DIE,Died/Put To Sleep,2022-09-03 07:34:00
COME BACK,523355,COME BACK,TKIXN,,False,bk,B,26/09/2018,DIE,Died/Put To Sleep,2022-09-05 07:31:00
COME HERE YOU,140294,COME HERE YOU,UKMDL,,False,bk,D,02/08/2019,RET,,2022-06-13 07:33:00
COME HOME HOLLY,872725,COME HOME HOLLY,VPQVU,,False,bk,B,13/10/2020,DIE,Died/Put To Sleep,2022-09-11 07:34:00
COME ON DAISY,447676,COME ON DAISY,VHUJB,,False,bk,B,17/09/2020,DIE,Died/Put To Sleep,2022-06-29 07:32:00
COMEDY OF ERRORS,29045,COMEDY OF ERRORS,VKMNL,29/10/2020,False,bkw,D,17/10/2019,EUT,Died/Put To Sleep,2021-09-17 11:45:00
COMER DOVE,719000,COMER DOVE,XRJQM,,True,bk,B,12/04/2021,RET,Transfer is complete,2022-07-27 07:34:00
COMICAL ZIPPY,909218,COMICAL ZIPPY,YBJBE,,False,bk,D,02/11/2021,DIE,Died/Put To Sleep,2022-03-11 06:03:00
COMMONS JET,86851,COMMONS JET,TDHQD,,False,bk,B,15/08/2018,RET,Transfer is complete,2022-06-09 07:33:00
COMPENSATIONFIFI,886742,COMPENSATIONFIFI,YTUKD,,False,bk,B,09/10/2021,DIE,Died/Put To Sleep,2022-09-07 07:34:00
CONDOR HARVEY,598215,CONDOR HARVEY,VBASM,,False,f,D,20/10/2020,RET,Still at premises,2022-08-15 07:32:00
CONDOR LEO,226507,CONDOR LEO,TBVYM,,False,bd,D,26/07/2018,RET,Still at premises,2022-05-09 11:14:00
CONDOR LUCILLE,598156,CONDOR LUCILLE,VBQEZ,,False,wf,B,20/10/2020,RET,Still at premises,2022-09-01 07:33:00
CONDOR MAISIE,632447,CONDOR MAISIE,UBLML,,True,bkw,B,14/07/2019,RET,Still at premises,2022-07-28 07:34:00
CONDOR OZZIE,598030,CONDOR OZZIE,VBBDP,,False,f,D,20/10/2020,RET,Still at premises,2022-08-15 07:32:00
CONDOR SOPHIE,634065,CONDOR SOPHIE,TTBPQ,,False,bd,B,24/08/2018,RET,Still at premises,2022-08-07 07:32:00
CONDOR TEDDY,598089,CONDOR TEDDY,VBJLS,,False,f,D,20/10/2020,RET,Still at premises,2022-08-15 07:32:00
CONFEY ROSS,303859,CONFEY ROSS,VTRLQ,,False,bk,B,12/06/2020,DIE,Died/Put To Sleep,2022-01-19 06:11:00
CONFIDENT AGATHA,425904,CONFIDENT AGATHA,VYUSJ,,False,wbk,B,01/08/2020,EUT,Died/Put To Sleep,2022-08-23 07:32:00
CONFIDENT BALE,673824,CONFIDENT BALE,VYHXX,,False,bk,D,25/07/2020,RET,Still at premises,2022-08-25 07:34:00
CONFIDENT BLAZE,76685,CONFIDENT BLAZE,TYQHL,,False,bd,D,16/06/2018,DIE,Died/Put To Sleep,2022-09-01 07:33:00
CONFIDENT DARA,56768,CONFIDENT DARA,RPBSI,,False,bk,B,21/07/2016,RET,Still at premises,2022-02-28 06:30:00
CONFIDENT DELIA,569576,CONFIDENT DELIA,UYNEP,,False,bk,B,04/09/2019,RET,Still at premises,2022-09-11 07:34:00
